query_spectrum_nr,ms2query_model_prediction,precursor_mz_difference,precursor_mz_query_spectrum,precursor_mz_analog,inchikey,spectrum_ids,analog_compound_name,retention_time,retention_index,smiles,cf_kingdom,cf_superclass,cf_class,cf_subclass,cf_direct_parent,npc_class_results,npc_superclass_results,npc_pathway_results
21,0.9440,0.0004,579.1494,579.1490,XFZJEEAOWLFHDH,24733,Procyanidin B2,,,O[C@@H]([C@@H](C1=CC=C(O)C(O)=C1)O2)CC3=C2C([C@@H]4[C@@H](O)[C@@H](C5=CC=C(O)C(O)=C5)OC6=C4C(O)=CC(O)=C6)=C(O)C=C3O,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Biflavonoids and polyflavonoids,Biflavonoids and polyflavonoids,Proanthocyanins,Flavonoids,Shikimates and Phenylpropanoids
22,0.6237,0.0003,123.0803,123.0800,DFPAKSUCGFBDDF,260431,NAM,,,NC(=O)C1=CN=CC=C1,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,Nicotinamides,Pyridine alkaloids,Nicotinic acid alkaloids,Alkaloids
26,0.8556,0.0010,291.0860,291.0870,PFTAWBLQPZVEMU,260556,EpCt-pl,,,OC1=C(C[C@H](O)[C@@H](C2=CC(O)=C(O)C=C2)O3)C3=CC(O)=C1,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavans,Catechins,Flavan-3-ols,Flavonoids,Shikimates and Phenylpropanoids
28,0.7649,0.0003,125.0597,125.0600,WLJVNTCWHIRURA,56451,pimelic_acid,,,C(CCC(=O)O)CCC(=O)O,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
29,0.7621,0.0004,153.0546,153.0550,MWOOGOJBHIARFG,69486,vanillin,,,O=CC1=CC(OC)=C(C=C1)O,Organic compounds,Benzenoids,Phenols,Methoxyphenols,Methoxyphenols,Cinnamic acids and derivatives; Simple phenolic acids,Phenolic acids (C6-C1); Phenylpropanoids (C6-C3),Shikimates and Phenylpropanoids
30,0.6290,0.0002,167.0702,167.0700,JIVGSHFYXPRRSZ,70923,"2,3-dimethoxybenzaldehyde",,,nan,nan,nan,nan,nan,nan,nan,nan,nan
31,0.6237,0.0004,123.0804,123.0800,DFPAKSUCGFBDDF,310831,3-Pyridinecarboxamide,,,NC(=O)C1=CN=CC=C1,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,Nicotinamides,Pyridine alkaloids,Nicotinic acid alkaloids,Alkaloids
32,0.7621,0.0004,153.0546,153.0550,MWOOGOJBHIARFG,69486,vanillin,,,O=CC1=CC(OC)=C(C=C1)O,Organic compounds,Benzenoids,Phenols,Methoxyphenols,Methoxyphenols,Cinnamic acids and derivatives; Simple phenolic acids,Phenolic acids (C6-C1); Phenylpropanoids (C6-C3),Shikimates and Phenylpropanoids
33,0.6074,287.0099,867.2119,580.2020,ZUUPZDSDPDQRJK,287008,"6-[4,5-dihydroxy-6-methyl-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]-5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one",,,C[C@@H]1O[C@@H](OC2C(O)C(O)C(C)OC2C3=C(O)C=C4OC(=CC(=O)C4=C3O)C5=CC=C(O)C=C5)[C@H](O)[C@H](O)[C@H]1O,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid C-glycosides,Flavones,Flavonoids,Shikimates and Phenylpropanoids
34,0.6281,0.0000,123.0440,123.0440,IAVREABSGIHHMO,5391,3-HYDROXYBENZALDEHYDE - 30.0 eV,,,C1=CC(=CC(=C1)O)C=O,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Hydroxybenzaldehydes,Shikimic acids and derivatives; Simple phenolic acids,Phenolic acids (C6-C1),Shikimates and Phenylpropanoids
35,0.7440,0.0004,153.0546,153.0550,VHUNCYDAXJGCLO,126542,Gaultherin,,,COC(=O)C1=C(O[C@@H]2O[C@H](CO[C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)C=CC=C1,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Phenolic glycosides,,,Shikimates and Phenylpropanoids
37,0.6237,0.0004,123.0804,123.0800,DFPAKSUCGFBDDF,260431,NAM,,,NC(=O)C1=CN=CC=C1,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,Nicotinamides,Pyridine alkaloids,Nicotinic acid alkaloids,Alkaloids
38,0.6281,0.0000,123.0440,123.0440,IAVREABSGIHHMO,5392,3-HYDROXYBENZALDEHYDE - 40.0 eV,,,C1=CC(=CC(=C1)O)C=O,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Hydroxybenzaldehydes,Shikimic acids and derivatives; Simple phenolic acids,Phenolic acids (C6-C1),Shikimates and Phenylpropanoids
39,0.8826,0.0004,165.0546,165.0550,NGSWKAQJJWESNS,1615,p-coumaric acid,,,O=C(O)/C=C/C1=CC=C(O)C=C1,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,Cinnamic acids and derivatives,Phenylpropanoids (C6-C3),Shikimates and Phenylpropanoids
40,0.7952,0.0004,153.0546,153.0550,VHUNCYDAXJGCLO,125999,Gaultherin,,,COC(=O)C1=C(O[C@@H]2O[C@H](CO[C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)C=CC=C1,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Phenolic glycosides,,,Shikimates and Phenylpropanoids
41,0.6237,0.0004,123.0804,123.0800,DFPAKSUCGFBDDF,260920,NAM,,,NC(=O)C1=CN=CC=C1,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,Nicotinamides,Pyridine alkaloids,Nicotinic acid alkaloids,Alkaloids
42,0.6281,0.0000,123.0440,123.0440,IAVREABSGIHHMO,5390,3-HYDROXYBENZALDEHYDE - 20.0 eV,,,C1=CC(=CC(=C1)O)C=O,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Hydroxybenzaldehydes,Shikimic acids and derivatives; Simple phenolic acids,Phenolic acids (C6-C1),Shikimates and Phenylpropanoids
43,0.9383,0.0001,611.1601,611.1600,QQBFHNKJGBCSLG,161844,2''-O-beta-L-galactopyranosylorientin,,,O=C1C=C(OC=2C1=C(O)C=C(O)C2C3OC(CO)C(O)C(O)C3OC4OC(CO)C(O)C(O)C4O)C=5C=CC(O)=C(O)C5,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid 8-C-glycosides,Flavones,Flavonoids,Shikimates and Phenylpropanoids
45,0.8692,0.0001,195.0651,195.0650,KSEBMYQBYZTDHS,62728,ferulic acid,,,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,Cinnamic acids and derivatives,Phenylpropanoids (C6-C3),Shikimates and Phenylpropanoids
46,0.8010,0.0005,225.0755,225.0760,PCMORTLOPMLEFB,251816,"3-(4-hydroxy-3,5-dimethoxy-phenyl)prop-2-enoic acid",,,COC1=CC(=CC(=C1O)OC)C=CC(=O)O,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,Cinnamic acids and derivatives,Phenylpropanoids (C6-C3),Shikimates and Phenylpropanoids
47,0.6281,0.0000,123.0440,123.0440,IAVREABSGIHHMO,5391,3-HYDROXYBENZALDEHYDE - 30.0 eV,,,C1=CC(=CC(=C1)O)C=O,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Hydroxybenzaldehydes,Shikimic acids and derivatives; Simple phenolic acids,Phenolic acids (C6-C1),Shikimates and Phenylpropanoids
49,0.7649,0.0003,125.0597,125.0600,WLJVNTCWHIRURA,56451,pimelic_acid,,,C(CCC(=O)O)CCC(=O)O,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
51,0.6237,0.0003,123.0803,123.0800,DFPAKSUCGFBDDF,310831,3-Pyridinecarboxamide,,,NC(=O)C1=CN=CC=C1,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,Nicotinamides,Pyridine alkaloids,Nicotinic acid alkaloids,Alkaloids
52,0.8302,0.0004,165.0546,165.0550,KKSDGJDHHZEWEP,254940,3-Hydroxycinnamic acid,,,OC(=O)\C=C\C1=CC(O)=CC=C1,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,Cinnamic acids and derivatives,Phenylpropanoids (C6-C3),Shikimates and Phenylpropanoids
53,0.8699,0.0001,195.0651,195.0650,KSEBMYQBYZTDHS,62728,ferulic acid,,,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,Cinnamic acids and derivatives,Phenylpropanoids (C6-C3),Shikimates and Phenylpropanoids
54,0.9095,0.0004,577.1336,577.1340,NSEWTSAADLNHNH,25387,Procyanidin A1,,,C1[C@@H]([C@H](OC2=C1C(=CC3=C2[C@@H]4[C@H]([C@](O3)(OC5=CC(=CC(=C45)O)O)C6=CC(=C(C=C6)O)O)O)O)C7=CC(=C(C=C7)O)O)O,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Biflavonoids and polyflavonoids,Biflavonoids and polyflavonoids,Proanthocyanins,Flavonoids,Shikimates and Phenylpropanoids
55,0.9318,0.0002,447.0918,447.0920,IKIIZLYTISPENI,25576,Baicalin,,,O=C1C2=C(O)C(O)=C(O[C@H]3[C@H](O)[C@@H](O)[C@H](O)[C@@H](C(O)=O)O3)C=C2OC(C4=CC=CC=C4)=C1,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid-7-O-glucuronides,Flavones,Flavonoids,Shikimates and Phenylpropanoids
56,0.6237,0.0004,123.0804,123.0800,DFPAKSUCGFBDDF,310834,3-Pyridinecarboxamide,,,NC(=O)C1=CN=CC=C1,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,Nicotinamides,Pyridine alkaloids,Nicotinic acid alkaloids,Alkaloids
57,0.6281,0.0000,123.0440,123.0440,IAVREABSGIHHMO,5392,3-HYDROXYBENZALDEHYDE - 40.0 eV,,,C1=CC(=CC(=C1)O)C=O,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Hydroxybenzaldehydes,Shikimic acids and derivatives; Simple phenolic acids,Phenolic acids (C6-C1),Shikimates and Phenylpropanoids
58,0.6237,0.0004,123.0804,123.0800,DFPAKSUCGFBDDF,261543,NAM,,,NC(=O)C1=CN=CC=C1,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,Nicotinamides,Pyridine alkaloids,Nicotinic acid alkaloids,Alkaloids
60,0.6281,0.0000,123.0440,123.0440,IAVREABSGIHHMO,5390,3-HYDROXYBENZALDEHYDE - 20.0 eV,,,C1=CC(=CC(=C1)O)C=O,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Hydroxybenzaldehydes,Shikimic acids and derivatives; Simple phenolic acids,Phenolic acids (C6-C1),Shikimates and Phenylpropanoids
61,0.9387,0.0000,581.1861,581.1860,HXTFHSYLYXVTHC,253500,Naringenin-7-O-rutinoside,,,CC1O[C@@H](OCC2O[C@@H](Oc3cc(O)c4C(=O)CC(Oc4c3)c5ccc(O)cc5)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid-7-O-glycosides,Flavanones,Flavonoids,Shikimates and Phenylpropanoids
62,0.9127,0.0005,463.0865,463.0870,FNTJVYCFNVUBOL,253084,Kaempferol-3-O-glucuronoside,,,O[C@H]1[C@H](OC2=C(OC3=C(C(O)=CC(O)=C3)C2=O)C4=CC=C(O)C=C4)O[C@@H]([C@@H](O)[C@@H]1O)C(O)=O,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid-3-O-glucuronides,Flavonols,Flavonoids,Shikimates and Phenylpropanoids
65,0.8425,0.0004,165.0546,165.0550,PMOWTIHVNWZYFI,246260,2-Coumaric acid,,,OC(=O)C=Cc(c1)c(O)ccc1,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,Cinnamic acids and derivatives,Phenylpropanoids (C6-C3),Shikimates and Phenylpropanoids
66,0.9387,0.0005,611.1965,611.1960,ARGKVCXINMKCAZ,18761,"(2S)-7-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-2,3-dihydrochromen-4-one [IIN-based: Match]",,,COC1=C(O)C=C(C=C1)[C@@H]2CC(=O)C3=C(O)C=C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)C=C3O2,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid-7-O-glycosides,Flavanones,Flavonoids,Shikimates and Phenylpropanoids
67,0.8556,0.0002,255.0648,255.0650,ZQSIJRDFPHDXIC,265915,7-hydroxy-3-(4-hydroxyphenyl)chromen-4-one,,,O=C1C2=CC=C(O)C=C2OC=C1C3=CC=C(O)C=C3,Organic compounds,Phenylpropanoids and polyketides,Isoflavonoids,Isoflav-2-enes,Isoflavones,Isoflavones,Isoflavonoids,Shikimates and Phenylpropanoids
68,0.7235,0.0007,229.0493,229.0500,NXJCRELRQHZBQA,113272,Citropen,,,COc1cc(OC)c2ccc(=O)oc2c1,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives,,Coumarins and derivatives,Simple coumarins,Coumarins,Shikimates and Phenylpropanoids
70,0.7473,0.0003,149.0597,149.0600,WBYWAXJHAXSJNI,255110,trans-Cinnamic acid,,,C1=CC=C(C=C1)C=CC(=O)O,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Cinnamic acids,Cinnamic acids,Cinnamic acids and derivatives,Phenylpropanoids (C6-C3),Shikimates and Phenylpropanoids
71,0.6241,0.0002,149.0598,149.0600,WBYWAXJHAXSJNI,73496,Cinnamic acid,,,C1=CC=C(C=C1)C=CC(=O)O,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Cinnamic acids,Cinnamic acids,Cinnamic acids and derivatives,Phenylpropanoids (C6-C3),Shikimates and Phenylpropanoids
72,0.8556,0.0006,273.0754,273.0760,FTVWIRXFELQLPI,255198,Naringenin,,,O=C1C2=C(C=C(C=C2OC(C1)C3=CC=C(C=C3)O)O)O,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavanones,Flavanones,Flavonoids,Shikimates and Phenylpropanoids
73,0.4090,178.0172,275.0848,453.1020,FUHMZYWBSHTEDZ,56908,bispyribac-sodium,,,nan,nan,nan,nan,nan,nan,nan,nan,nan
74,0.8765,0.0002,271.0598,271.0600,TZBJGXHYKVUXJN,264174,"5,7-dihydroxy-3-(4-hydroxyphenyl)chromen-4-one",,,O=C1C2=C(O)C=C(O)C=C2OC=C1C3=CC=C(O)C=C3,Organic compounds,Phenylpropanoids and polyketides,Isoflavonoids,Isoflav-2-enes,Isoflavones,Isoflavones,Isoflavonoids,Shikimates and Phenylpropanoids
75,0.8758,0.0005,243.1014,243.1010,ADFCQWZHKCXPAJ,25871,Equol,,,C1[C@H](COC2=C1C=CC(=C2)O)C3=CC=C(C=C3)O,Organic compounds,Phenylpropanoids and polyketides,Isoflavonoids,Isoflavans,Isoflavanols,Isoflavanones,Isoflavonoids,Shikimates and Phenylpropanoids
76,0.8700,0.0003,287.0547,287.0550,DNISTMYBAOCXPD,61309,"3,6,2',4'-Tetrahydroxyflavone",,,nan,nan,nan,nan,nan,nan,nan,nan,nan
78,0.8723,0.0001,303.0859,303.0860,AIONOLUJZLIMTK,253973,Hesperetin,,,O=C1C2=C(O)C=C(O)C=C2OC(C3=CC=C(OC)C(O)=C3)C1,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,O-methylated flavonoids,4'-O-methylated flavonoids,Flavanones,Flavonoids,Shikimates and Phenylpropanoids
80,0.8924,0.0007,317.0653,317.0660,IZQSVPBOUDKVDZ,260813,3'-Methoxyque,,,O=C1C2=C(O)C=C(O)C=C2OC(C3=CC(OC)=C(O)C=C3)=C1O,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones,Flavonols,Flavonols,Flavonoids,Shikimates and Phenylpropanoids
82,0.3005,29.9990,165.0910,195.0900,RYYVLZVUVIJVGH,82200,Caffeine,,,CN1C(N(C)C(N=CN2C)=C2C1=O)=O,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Xanthines,Purine alkaloids,Pseudoalkaloids (transamidation),Alkaloids
83,0.8765,0.0005,355.1535,355.1540,ORXQGKIUCDPEAJ,273408,FIO01081 Xanthohumol,,,COC1=C(C(=O)\C=C\C2=CC=C(O)C=C2)C(O)=C(CC=C(C)C)C(O)=C1,Organic compounds,Phenylpropanoids and polyketides,"Linear 1,3-diarylpropanoids",Chalcones and dihydrochalcones,3-prenylated chalcones,Chalcones,Flavonoids,Shikimates and Phenylpropanoids
84,0.8556,0.0006,285.0754,285.0760,DANYIYRPLHHOCZ,236357,BML00818 Acacetin,,,COc1ccc(cc1)c2cc(=O)c3c(O)cc(O)cc3o2,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,O-methylated flavonoids,4'-O-methylated flavonoids,Flavones,Flavonoids,Shikimates and Phenylpropanoids
85,0.8556,0.0005,285.0755,285.0760,XLTFNNCXVBYBSX,255433,Wogonin,,,COc1c(O)cc(O)c2c(=O)cc(oc12)c3ccccc3,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,O-methylated flavonoids,8-O-methylated flavonoids,Flavones,Flavonoids,Shikimates and Phenylpropanoids
86,0.9270,0.0001,341.1379,341.1380,LPEPZZAVFJPLNZ,268610,"(2S)-5,7-dihydroxy-2-(4-hydroxyphenyl)-8-(3-methylbut-2-enyl)-2,3-dihydrochromen-4-one",,,CC(=CCc1c(O)cc(O)c2C(=O)CC(Oc12)c3ccc(O)cc3)C,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavans,8-prenylated flavanones,Flavanones,Flavonoids,Shikimates and Phenylpropanoids
87,0.8765,0.0005,355.1535,355.1540,ORXQGKIUCDPEAJ,273408,FIO01081 Xanthohumol,,,COC1=C(C(=O)\C=C\C2=CC=C(O)C=C2)C(O)=C(CC=C(C)C)C(O)=C1,Organic compounds,Phenylpropanoids and polyketides,"Linear 1,3-diarylpropanoids",Chalcones and dihydrochalcones,3-prenylated chalcones,Chalcones,Flavonoids,Shikimates and Phenylpropanoids
