query_spectrum_nr,ms2query_model_prediction,precursor_mz_difference,precursor_mz_query_spectrum,precursor_mz_analog,inchikey,spectrum_ids,analog_compound_name,retention_time,retention_index,smiles,cf_kingdom,cf_superclass,cf_class,cf_subclass,cf_direct_parent,npc_class_results,npc_superclass_results,npc_pathway_results
12,0.4090,381.4323,191.9617,573.3940,AEMFNILZOJDQLW,4148,h_47_androst_4_ene_3_17_dione_androstenedione,,,C[C@]12CCC(C=C1CC[C@@H]3[C@@H]2CC[C@@]4(C)[C@H]3CCC4=O)=O,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,Androgens and derivatives,Androstane steroids,Steroids,Terpenoids
13,0.6126,0.0006,172.0964,172.0970,DAOGFHQPAHSMQS,54229,1_proprionylpyrrolidine_2_carboxylic_acid,,,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,0.6203,0.0000,258.1080,258.1080,ZAYHVCMSTBRABG,251955,"4-amino-1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidin-2-one",,,CC1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,,Pyrimidine nucleosides,Pyrimidine nucleosides,Nucleosides,Carbohydrates
15,0.4090,329.4045,131.9295,461.3340,MDSUKZSLOATHMH,25155,Leu-Val,,,CC(C)C[C@@H](C(=O)N[C@@H](C(C)C)C(=O)O)N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,Dipeptides,Small peptides,Amino acids and Peptides
16,0.3026,33.9805,110.0198,76.0393,DHMQDGOQFOQNFH,7252,Glycine - 50.00 eV,,,C(C(=O)O)N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids,Aminoacids,Small peptides,Amino acids and Peptides
17,0.7198,0.0001,126.0659,126.0660,LRSASMSXMSNRBT,305044,5-METHYLCYTOSINE,,,CC1=C(N)NC(=O)N=C1,Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,Hydroxypyrimidines,Pyridine alkaloids,Nicotinic acid alkaloids,Alkaloids
18,0.6232,0.0001,114.0911,114.0910,SLXKOJJOQWFEFD,25504,6-Aminocaproic acid,,,C(CCC(=O)O)CCN,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,Amino fatty acids,Fatty Acids and Conjugates,Fatty acids
19,0.4090,346.1658,109.0222,455.1880,CKTSBUTUHBMZGZ,28506,DEOXYCYTIDINE,,,NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,Pyrimidine 2'-deoxyribonucleosides,Pyrimidine 2'-deoxyribonucleosides,Pyrimidine nucleosides,Nucleosides,Carbohydrates
20,0.5533,60.1721,172.9769,233.1490,DRCKHKZYDLJYFQ,26243,Ile-Thr,,,CCC(C)C(C(=O)NC(C(C)O)C(=O)O)N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,Dipeptides,Small peptides,Amino acids and Peptides
21,0.5284,0.0973,169.1333,169.0360,LEHOTFFKMJEONL,5854,URATE - 40.0 eV,,,C12=C(NC(=O)N1)NC(=O)NC2=O,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Xanthines,Purine alkaloids,Pseudoalkaloids (transamidation),Alkaloids
22,0.3459,176.1798,184.9852,361.1650,FIUFLISGGHNPSM,54531,3_4methoxyphenyl_propionic_acid,,,nan,nan,nan,nan,nan,nan,nan,nan,nan
23,0.3459,156.1025,180.9895,337.0920,IGMNYECMUMZDDF,54426,25Dihydroxy_phenyl_acetic_acid_homogenistic,,,C1=CC(=C(C=C1O)CC(=O)O)O,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylacetic acids,2(hydroxyphenyl)acetic acids,Simple phenolic acids,Phenolic acids (C6-C1),Shikimates and Phenylpropanoids
24,0.5284,56.2039,172.9561,229.1600,OCYROESYHWUPBP,26233,Pro-Ile,,,CC[C@H](C)[C@@H](C(=O)O)NC(=O)[C@@H]1CCCN1,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,Dipeptides,Small peptides,Amino acids and Peptides
25,0.4090,320.3310,114.9640,435.2950,SCABKEBYDRTODC,262775,bis[2-(2-butoxyethoxy)ethyl] hexanedioate,,,CCCCOCCOCCOC(=O)CCCCC(=O)OCCOCCOCCCC,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,Triacylglycerols,Glycerolipids,Fatty acids
26,0.3041,5.0659,113.9681,119.0340,ZIYVHBGGAOATLY,5635,METHYLMALONATE - 70.0 eV,,,CC(C(O)=O)C(O)=O,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,Dicarboxylic acids and derivatives,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
27,0.7654,0.0002,217.1178,217.1180,QOLYAJSZHIJCTO,25340,Thr-Pro,,,C[C@H]([C@@H](C(=O)N1CCC[C@H]1C(=O)O)N)O,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,Dipeptides,Small peptides,Amino acids and Peptides
28,0.4090,191.0258,302.0852,493.1110,IMEVJVISCHQJRM,275209,Triflusulfuron-methyl,,,O=C(OC)c1cccc(c1S(=O)(=O)NC(=O)Nc2nc(nc(OCC(F)(F)F)n2)N(C)C)C,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Sulfonylureas,S-triazinyl-2-sulfonylureas,,,Alkaloids
29,0.5284,61.1859,111.9681,173.1540,PVYFCGRBIREQLL,54378,2_methylbutyl_2_methylbutyrate,,,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,0.3041,11.0719,141.9831,153.0550,WQXWIKCZNIGMAP,61802,"3',5'-Dihydroxyacetophenone",,,nan,nan,nan,nan,nan,nan,nan,nan,nan
31,0.3041,16.9437,139.9877,123.0440,IAVREABSGIHHMO,5393,3-HYDROXYBENZALDEHYDE - 50.0 eV,,,C1=CC(=CC(=C1)O)C=O,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Hydroxybenzaldehydes,Shikimic acids and derivatives; Simple phenolic acids,Phenolic acids (C6-C1),Shikimates and Phenylpropanoids
32,0.3459,192.1002,144.9918,337.0920,IGMNYECMUMZDDF,54426,25Dihydroxy_phenyl_acetic_acid_homogenistic,,,C1=CC(=C(C=C1O)CC(=O)O)O,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylacetic acids,2(hydroxyphenyl)acetic acids,Simple phenolic acids,Phenolic acids (C6-C1),Shikimates and Phenylpropanoids
33,0.4076,211.0885,234.9465,446.0350,KVEQCVKVIFQSGC,240418,"N-{[4-methoxy-6-(trifluoromethyl)-1,3,5-triazin-2-yl]carbamoyl}-2-(trifluoromethyl)benzenesulfonamide",,,c1c(S(=O)(=O)NC(Nc2nc(nc(n2)C(F)(F)F)OC)=O)c(C(F)(F)F)ccc1,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Sulfonylureas,S-triazinyl-2-sulfonylureas,,,Alkaloids
34,0.3041,27.0105,174.1235,147.1130,KDXKERNSBIXSRK,6065,L-LYSINE - 50.0 eV,,,C(CCN)CC(C(=O)O)N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids,Aminoacids,Small peptides,Amino acids and Peptides
35,0.6364,0.0003,132.1017,132.1020,AGPKZVBTJJNPAG,2019,Isoleucine,,,CCC(C)C(C(=O)O)N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Isoleucine and derivatives,Amino fatty acids; Aminoacids,Small peptides; Fatty Acids and Conjugates,Amino acids and Peptides; Fatty acids
36,0.7671,0.0004,189.0866,189.0870,KSMRODHGGIIXDV,303665,ALPHA-N-ACETYL-GLUTAMINE,,,nan,nan,nan,nan,nan,nan,nan,nan,nan
37,0.5284,40.0549,186.1121,226.1670,ZJMZZNVGNSWOOM,23672,Secbumeton,,,CCC(C)NC1=NC(=NC(=N1)NCC)OC,Organic compounds,Organoheterocyclic compounds,Triazines,"1,3,5-triazines","2-methoxy-1,3,5-triazines",,Pseudoalkaloids (transamidation),Alkaloids
38,0.5286,68.9157,361.9577,293.0420,ZJZSQGDOCUHCCW,60949,"7,8,3'-Trihydroxyflavone",,,nan,nan,nan,nan,nan,nan,nan,nan,nan
39,0.5284,46.9566,201.9906,155.0340,UIAFKZKHHVMJGS,69463,"2,4-dihydroxybenzoic acid",,,nan,nan,nan,nan,nan,nan,nan,nan,nan
40,0.4090,356.0005,275.1595,631.1600,GZSOSUNBTXMUFQ,98988,"5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-7-(((2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-((((2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-methyltetrahydro-2H-pyran-2-yl)oxy)methyl)tetrahydro-2H-pyran-2-yl)oxy)-4H-chrome n-4-one",,,COc1ccc(cc1O)c2cc(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3o2,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid-7-O-glycosides,Flavones,Flavonoids,Shikimates and Phenylpropanoids
41,0.5528,144.9758,309.9862,454.9620,AXZCNBVMHHTPKA,23035,Diploicin,,,O=C1c2c(C)c(Cl)c(O)c(Cl)c2Oc2c(O1)c(c(c(c2C)Cl)OC)Cl,Organic compounds,Phenylpropanoids and polyketides,Depsides and depsidones,,Depsides and depsidones,Depsides and depsidones,Aromatic polyketides,Polyketides
42,0.5279,30.0703,193.9297,224.0000,JGQQLQAYZXPOJS,953,1-(4-fluorophenyl)isoquinoline,,,FC(C=C1)=CC=C1C2=NC=CC3=CC=CC=C32,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Phenylpyridines,Phenylpyridines,,Tyrosine alkaloids,Alkaloids
43,0.3105,177.1265,113.9635,291.0900,IVUXTESCPZUGJC,262101,"3-[4-(4-chlorophenoxy)phenyl]-1,1-dimethylurea",,,CN(C)C(=O)NC1=CC=C(C=C1)OC2=CC=C(C=C2)Cl,Organic compounds,Benzenoids,Benzene and substituted derivatives,Diphenylethers,Diphenylethers,,,
44,0.5495,17.0164,188.1026,205.1190,NUXSIDPKKIEIMI,314128,N(6)-carboxymethyllysine,,,N[C@@H](CCCCNCC(=O)O)C(=O)O,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,Aminoacids,Small peptides,Amino acids and Peptides
45,0.4090,263.2087,200.9953,464.2040,NOKRNJLENDLSKM,27029,4-Hydroxynonenal glutathione,,,CCCCCC(C(CC=O)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Oligopeptides,,,Amino acids and Peptides
46,0.5279,38.0800,136.0480,174.1280,UUFAJPMQSFXDFR,275306,Desmethylselegiline,,,CC(Cc1ccccc1)NCC#C,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenethylamines,Amphetamines and derivatives,Phenylalanine-derived alkaloids,Pseudoalkaloids,Alkaloids
47,0.3459,122.2387,177.9573,300.1960,PTGXAUBQBSGPKF,258807,Nylidrin|4-[1-hydroxy-2-(4-phenylbutan-2-ylamino)propyl]phenol,,,CC(CCC1=CC=CC=C1)NC(C)C(C2=CC=C(C=C2)O)O,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylpropanes,Phenylpropanes,Phenylalanine-derived alkaloids,Pseudoalkaloids (transamidation),Alkaloids
48,0.4090,231.3020,223.9880,455.2900,SGTNSNPWRIOYBX,272411,"2-(3,4-dimethoxyphenyl)-5-[2-(3,4-dimethoxyphenyl)ethyl-methylamino]-2-propan-2-ylpentanenitrile",,,COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylbutylamines,Phenylbutylamines,Phenylethylamines,Tyrosine alkaloids,Alkaloids
49,0.4090,298.0643,143.1177,441.1820,BFVCXYLQNGCSNB,3413,Clindamycin N-oxide,,,CCCC1CC(C(NC(C(Cl)C)C2C(O)C(O)C(O)C(SC)O2)=O)[N+](C)([O-])C1,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Thioglycosides,,,
50,0.3459,119.0109,174.0871,293.0980,VKZRWSNIWNFCIQ,7628,EDDS,,,nan,nan,nan,nan,nan,nan,nan,nan,nan
51,0.6232,0.0003,184.1077,184.1080,ACHWEOLUTJAHLV,3735,Histidine ethyl ester,,,CCOC(=O)C(N)Cc1c[nH]cn1,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Histidine and derivatives,,Small peptides,Amino acids and Peptides
52,0.4090,281.1709,211.9401,493.1110,IMEVJVISCHQJRM,275361,Triflusulfuron-methyl,,,O=C(OC)c1cccc(c1S(=O)(=O)NC(=O)Nc2nc(nc(OCC(F)(F)F)n2)N(C)C)C,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Sulfonylureas,S-triazinyl-2-sulfonylureas,,,Alkaloids
53,0.4127,143.3448,291.9062,435.2510,INRCFVYVWPWZJS,285464,"5-[(Z)-14-(3,5-dihydroxyphenyl)tetradec-8-enyl]benzene-1,3-diol",,,Oc1cc(O)cc(CCCCC/C=C\CCCCCCCc2cc(O)cc(O)c2)c1,Organic compounds,Benzenoids,Phenols,Benzenediols,Resorcinols,Catechols with side chains,Aromatic polyketides,Polyketides
54,0.5858,0.0006,183.1126,183.1120,ZYQUJMZZIMIATO,699,"3-ethyl-2,3,6,7,8,8a-hexahydropyrrolo[1,2-a]pyrazine-1,4-dione",,,nan,nan,nan,nan,nan,nan,nan,nan,nan
55,0.6246,0.0005,169.0605,169.0600,QYTWIMMLQKHPGL,145570,4-ureidobutanoic acid,,,O=C(N)NCCCC(=O)O,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Gamma amino acids and derivatives,Aminoacids,Small peptides,Amino acids and Peptides
56,0.3459,192.9439,234.9561,427.9000,VTCHHTCQMAFJHP,986,"2-(2,4-diiodophenyl)-4,4-dimethyl-4,5-dihydrooxazole",,,CC(CO1)(C)N=C1C2=CC=C(I)C=C2I,Organic compounds,Benzenoids,Benzene and substituted derivatives,Halobenzenes,Iodobenzenes,,,
57,0.4090,158.9318,287.8882,446.8200,GCGQHSSXJBSDGG,228,4-O-DemethylBarbamide,,,C[C@@H](CC(=O)CC(=O)N(C)[C@@H](CC1=CC=CC=C1)C2=NC=CS2)C(Cl)(Cl)Cl,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenethylamines,Amphetamines and derivatives,,,Amino acids and Peptides
58,0.4090,315.1381,172.0399,487.1780,UHDGCWIWMRVCDJ,71577,cytidine,,,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,,Pyrimidine nucleosides,Pyrimidine nucleosides,Nucleosides,Carbohydrates
59,0.7624,0.0001,176.0551,176.0550,OTCCIMWXFLJLIA,304048,N-ACETYL-ASPARTIC ACID,,,CC(=O)N[C@@H](CC(O)=O)C(O)=O,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Aspartic acid and derivatives,Dipeptides,Small peptides,Amino acids and Peptides
60,0.2939,203.9716,115.0694,319.0410,AUZONCFQVSMFAP,8198,Disulfiram,,,CCN(CC)C(=S)SSC(=S)N(CC)CC,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Thiuram disulfides,,,
61,0.4090,268.1145,181.0525,449.1670,XNKLLVCARDGLGL,8410,Stavudine,,,CC1=CN(C(=O)NC1=O)[C@H]2C=C[C@H](O2)CO,Organic compounds,"Nucleosides, nucleotides, and analogues",Nucleoside and nucleotide analogues,,Nucleoside and nucleotide analogues,Pyrimidine nucleosides,Nucleosides,Carbohydrates
62,0.4090,571.1608,218.1212,789.2820,YCGPBVPZHGYLBK,302989,CAPREOMYCIN SULFATE,,,CC1N=C(O)C(N)CN=C(O)C(C2CCNC(=N)N2)N=C(O)/C(=C/NC(=N)O)N=C(O)C(CN=C(O)CC(N)CCCN)N=C1O.O=S(=O)(O)O,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Oligopeptides,Cyclic peptides,Oligopeptides,Amino acids and Peptides
63,0.3459,9.1245,330.1765,339.3010,SKTZFCRNZMJIPZ,3743,N-butyl-N-(1-(cyclohexylamino)-1-oxobutan-2-yl)-4-methylpentanamide,,,CCCCN(C(=O)CCC(C)C)C(CC)C(=O)NC1CCCCC1,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,N-acyl amines,,,Alkaloids; Fatty acids
64,0.5292,12.9830,282.1190,269.1360,OFEZSBMBBKLLBJ,284808,cordycepin,,,NC1=NC=NC2=C1N=C[N]2[C@@H]3O[C@H](CO)C[C@H]3O,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,Purine 3'-deoxyribonucleosides,Purine 3'-deoxyribonucleosides,Purine nucleosides,Nucleosides,Carbohydrates
65,0.3459,214.0087,154.0973,368.1060,CGVFTKMEVLRGLY,59000,"3-[(3-chloro-4-fluorophenyl)amino]-1-(3,4,5-trimethoxyphenyl)propan-1-one",,,nan,nan,nan,nan,nan,nan,nan,nan,nan
66,0.5529,39.9810,414.9810,454.9620,AXZCNBVMHHTPKA,23035,Diploicin,,,O=C1c2c(C)c(Cl)c(O)c(Cl)c2Oc2c(O1)c(c(c(c2C)Cl)OC)Cl,Organic compounds,Phenylpropanoids and polyketides,Depsides and depsidones,,Depsides and depsidones,Depsides and depsidones,Aromatic polyketides,Polyketides
67,0.4090,334.0465,170.0385,504.0850,NIFKBBMCXCMCAO,275525,"2-[(4,6-dimethoxypyrimidin-2-yl)carbamoylsulfamoyl]-4-(methanesulfonamidomethyl)benzoic acid methyl ester",,,O=C(Nc1nc(cc(OC)n1)OC)NS(=O)(=O)c2cc(CNS(C)(=O)=O)ccc2C(=O)OC,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Sulfonylureas,Pyrimidinyl-2-sulfonylureas,,,Alkaloids
68,0.3459,128.0321,182.9849,311.0170,ZDHYERRNXRANLI,276707,"O,O-Dimethyl O-[3-methyl-4-(methylsulfonyl)phenyl] phosphorothioate",,,CC1=C(C=CC(=C1)OP(=S)(OC)OC)S(=O)(=O)C,Organic compounds,Organic acids and derivatives,Organic thiophosphoric acids and derivatives,Thiophosphoric acid esters,Phenyl thiophosphates,Menthane monoterpenoids,Monoterpenoids,Terpenoids
69,0.4090,334.0526,170.0324,504.0850,NIFKBBMCXCMCAO,249298,"2-[(4,6-dimethoxypyrimidin-2-yl)carbamoylsulfamoyl]-4-(methanesulfonamidomethyl)benzoic acid methyl ester",,,O=C(Nc1nc(cc(OC)n1)OC)NS(=O)(=O)c2cc(CNS(C)(=O)=O)ccc2C(=O)OC,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Sulfonylureas,Pyrimidinyl-2-sulfonylureas,,,Alkaloids
70,0.6237,0.0002,144.1018,144.1020,JHEDYGILOIBOTL,312011,"(3R,4S)-3-Amino-4-methylhexanoic acid hydrochloride",,,CCC(C)C(CC(=O)O)N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Beta amino acids and derivatives,Aminoacids,Small peptides,Amino acids and Peptides
71,0.3459,130.2663,186.9807,317.2470,UFMJCOLGRWKUKO,285664,"5-{8(Z),11(Z)-pentadecadienyl}resorcinol",,,CCC/C=C\C/C=C\CCCCCCCc1cc(O)cc(O)c1,Organic compounds,Benzenoids,Phenols,Benzenediols,Resorcinols,Catechols with side chains,Aromatic polyketides,Polyketides
72,0.3459,190.1914,152.9946,343.1860,DAOGFHQPAHSMQS,54243,1_proprionylpyrrolidine_2_carboxylic_acid,,,nan,nan,nan,nan,nan,nan,nan,nan,nan
73,0.7190,0.0011,298.1139,298.1150,SLEHROROQDYRAW,251870,"9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-2-(methylamino)-3H-purin-6-one",,,CNc1[nH]c(=O)c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,,Purine nucleosides,Purine nucleosides,Nucleosides,Carbohydrates
74,0.7341,0.0001,150.0581,150.0580,FFEARJCKVFRZRR,303788,METHIONINE,,,CSCCC(C(=O)O)N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Methionine and derivatives,Aminoacids,Small peptides,Amino acids and Peptides
75,0.5503,90.1197,196.0713,286.1910,YECBIJXISLIIDS,274042,"N`-[(4-methoxyphenyl)methyl]-N,N-dimethyl-N`-pyridin-2-ylethane-1,2-diamine",,,CN(C)CCN(CC1=CC=C(C=C1)OC)C2=CC=CC=N2,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzylamines,2-benzylaminopyridines,Amarylidaceae alkaloids; Phenylethylamines,Tyrosine alkaloids,Alkaloids
76,0.2939,142.0164,177.0866,319.1030,ZPEIMTDSQAKGNT,265794,"3-(2-chlorophenothiazin-10-yl)-N,N-dimethylpropan-1-amine",,,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,Organic compounds,Organoheterocyclic compounds,Benzothiazines,Phenothiazines,Phenothiazines,Simple indole alkaloids,Tryptophan alkaloids,Alkaloids
77,0.3451,132.9650,160.1330,293.0980,VKZRWSNIWNFCIQ,7628,EDDS,,,nan,nan,nan,nan,nan,nan,nan,nan,nan
78,0.4090,358.2479,166.0721,524.3200,XKMLYUALXHKNFT,261507,5'-GTP,,,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N=C(NC2=O)N,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine ribonucleotides,Purine ribonucleoside triphosphates,Purine nucleos(t)ides,Nucleosides,Carbohydrates
79,0.5296,45.0721,198.0369,243.1090,KRBMQYPTDYSENE,236528,BML01463 Histidylserine|2-(2-amino-3-imidazol-5-ylpropanoylamino)-3-hydroxypropanoic acid,,,C1=C(NC=N1)CC(C(=O)NC(CO)C(=O)O)N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,Dipeptides,Small peptides,Amino acids and Peptides
80,0.3459,176.1279,160.9641,337.0920,IGMNYECMUMZDDF,54426,25Dihydroxy_phenyl_acetic_acid_homogenistic,,,C1=CC(=C(C=C1O)CC(=O)O)O,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylacetic acids,2(hydroxyphenyl)acetic acids,Simple phenolic acids,Phenolic acids (C6-C1),Shikimates and Phenylpropanoids
81,0.7721,0.0008,218.1382,218.1390,UFAHZIUFPNSHSL,7267,Propionylcarnitine - 20.00 eV,,,CCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Acyl carnitines,Fatty acyl carnitines,Fatty esters,Fatty acids
82,0.5319,68.9851,176.1279,245.1130,YBTCBQBIJKGSJP,24675,Glu-Pro,,,C1C[C@H](N(C1)C(=O)[C@H](CCC(=O)O)N)C(=O)O,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,Dipeptides,Small peptides,Amino acids and Peptides
