query_spectrum_nr,ms2query_model_prediction,precursor_mz_difference,precursor_mz_query_spectrum,precursor_mz_analog,inchikey,analog_compound_name,smiles,retention_time,retention_index,cf_kingdom,cf_superclass,cf_class,cf_subclass,cf_direct_parent,npc_class_results,npc_superclass_results,npc_pathway_results
14,0.2939,231.9920,146.0600,378.0520,AAGYRUQWSQMMAM,"N-(2H-benzo[3,4-d]1,3-dioxolan-5-yl)-2-(4-hydroxyquinazolin-2-ylthio)acetamide",OC(CSc1nc(O)c2ccccc2n1)=Nc1ccc2c(c1)OCO2,466.9930,,Organic compounds,Organoheterocyclic compounds,Diazanaphthalenes,Benzodiazines,Quinazolines,,Anthranilic acid alkaloids,Alkaloids
15,0.4090,688.5900,146.0600,834.6500,KFWWCMJSYSSPSK,2-Butenoyl coenzyme A lithium salt,CC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O,713.3700,,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl thioesters,2-enoyl CoAs,Fatty acyl CoAs,Fatty esters,Fatty acids
16,0.4090,304.0309,146.0601,450.0910,GWPFFRCJJVYBJB,"methylethyl 4-(3-bromo-4-hydroxy-5-methoxyphenyl)-2-methyl-5-oxo-1,4,6,7,8-pen tahydroquinoline-3-carboxylate",COc1cc(C2C(C(=O)OC(C)C)=C(C)NC3=C2C(=O)CCC3)cc(Br)c1O,373.2480,,Organic compounds,Organoheterocyclic compounds,Quinolines and derivatives,Phenylquinolines,Phenylquinolines,,,Polyketides
17,0.4090,688.5899,146.0601,834.6500,KFWWCMJSYSSPSK,2-Butenoyl coenzyme A lithium salt,CC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O,549.6140,,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl thioesters,2-enoyl CoAs,Fatty acyl CoAs,Fatty esters,Fatty acids
18,0.2939,517.9994,146.1176,664.1170,BAWFJGJZGIEFAR,"1-[(2R,3R,4S,5R)-5-[[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxymethyl]-3,4-dihydroxyoxolan-2-yl]p",[H]N([H])c(n5)c(n4)c(nc([H])5)n(c([H])4)C([H])(O1)C([H])(O[H])C([H])(O[H])C([H])1C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C([H])(O2)C([H])(O[H])C([H])(O[H])C([H])2[n+1](c([H])3)c([H])c(C(N)=O)c([H])c([H])3,419.8800,,Organic compounds,"Nucleosides, nucleotides, and analogues",(5'->5')-dinucleotides,,(5'->5')-dinucleotides,,,
19,0.4090,361.1890,147.0440,508.2330,SYSQDCXRTHUHHF,"2-phenoxyethyl 4-(4-hydroxy-3,5-dimethoxyphenyl)-2,7,7-trimethyl-5-oxo-1,4,6,7 ,8-pentahydroquinoline-3-carboxylate",COc1cc(C2C(C(=O)OCCOc3ccccc3)=C(C)NC3=C2C(=O)CC(C)(C)C3)cc(OC)c1O,765.3290,,Organic compounds,Organoheterocyclic compounds,Quinolines and derivatives,Phenylquinolines,Phenylquinolines,,,
20,0.4090,289.9020,147.0440,436.9460,ZOCSXAVNDGMNBV,"5-amino-1-[2,6-dichloro-4-(trifluoromethyl)phenyl]-4-(trifluoromethylsulfinyl)-3-pyrazolecarbonitrile",C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)C(F)(F)F)N)Cl)C(F)(F)F,724.8090,,Organic compounds,Organoheterocyclic compounds,Azoles,Pyrazoles,Phenylpyrazoles,,,
21,0.4090,459.1020,147.0440,606.1460,PGYQQEYWYHVHOW,"methylpropyl 4-(3-bromo-5-ethoxy-4-hydroxyphenyl)-7-(4-methoxyphenyl)-2-methyl -5-oxo-1,4,6,7,8-pentahydroquinoline-3-carboxylate",CCOc1cc(C2C(C(=O)OC(C)CC)=C(C)NC3=C2C(=O)CC(c2ccc(OC)cc2)C3)cc(Br)c1O,631.6630,,Organic compounds,Organoheterocyclic compounds,Quinolines and derivatives,Phenylquinolines,Phenylquinolines,,,
22,0.2939,314.0755,149.1325,463.2080,GJYBMGDRIGIOBX,"N-{1-methyl-2-[(3,4,5-trimethoxyphenyl)carbonylamino]ethyl}(3,4,5-trimethoxyph enyl)carboxamide",COc1cc(C(O)=NCC(C)N=C(O)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,1433.8880,,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzamides,Minor lignans,Lignans,Shikimates and Phenylpropanoids
23,0.2939,659.5510,151.0390,810.5900,ZSLZBFCDCINBPY,Acetyl coenzyme A (C2:0),CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O,699.4960,,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl thioesters,Acyl CoAs,Fatty acyl CoAs,Fatty esters,Fatty acids
24,0.2108,119.9127,153.0182,272.9310,BICIBGQLPWNJLT,3-bromo-6-chloro-7-methylchromen-4-one,Cc1cc2occ(Br)c(=O)c2cc1Cl,488.9830,,Organic compounds,Organoheterocyclic compounds,Benzopyrans,1-benzopyrans,Chromones,Chromones,Chromanes,Polyketides
25,0.4090,529.4583,159.0916,688.5500,KDTSHFARGAKYJN,3'-Dephosphocoenzyme A,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)O)C(C(=O)NCCC(=O)NCCS)O,465.7290,,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine ribonucleotides,Purine ribonucleoside diphosphates,Fatty acyl CoAs,Fatty esters,Fatty acids
26,0.2939,207.8635,161.0445,368.9080,UTUCNPNGMNEWGE,8-bromo-6-chloro-2-(2-chlorophenyl)chromen-4-one,O=c1cc(-c2ccccc2Cl)oc2c(Br)cc(Cl)cc12,258.6220,,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones,Flavones,Flavones,Flavonoids,Shikimates and Phenylpropanoids
27,0.2939,186.0230,162.0550,348.0780,RLTHKSGARBYDSC,2-(4-hydroxyquinazolin-2-ylthio)-N-(4-methylphenyl)acetamide,Cc1ccc(NC(=O)CSc2nc(O)c3ccccc3n2)cc1,916.7120,,Organic compounds,Organoheterocyclic compounds,Diazanaphthalenes,Benzodiazines,Quinazolines,Phenazine alkaloids,Anthranilic acid alkaloids,Alkaloids
28,0.2939,312.0358,166.0862,478.1220,PAJOMZBUVDHRHG,"methylethyl 4-(3-bromo-4-hydroxy-5-methoxyphenyl)-2,7,7-trimethyl-5-oxo-1,4,6, 7,8-pentahydroquinoline-3-carboxylate",COc1cc(C2C(C(=O)OC(C)C)=C(C)NC3=C2C(=O)CC(C)(C)C3)cc(Br)c1O,290.2050,,Organic compounds,Organoheterocyclic compounds,Quinolines and derivatives,Phenylquinolines,Phenylquinolines,,,
29,0.2939,181.0078,167.0702,348.0780,CHMIQKBMAHSAPY,2-(4-hydroxyquinazolin-2-ylthio)-N-benzylacetamide,OC(CSc1nc(O)c2ccccc2n1)=NCc1ccccc1,524.7690,,Organic compounds,Organoheterocyclic compounds,Diazanaphthalenes,Benzodiazines,Quinazolines,Quinoline alkaloids,Anthranilic acid alkaloids,Alkaloids
30,0.6232,0.0005,169.0495,169.0500,XIROXSOOOAZHLL,"1-(2,3,4-trihydroxyphenyl)ethanone",O=C(C1=CC=C(O)C(O)=C1O)C,499.5430,,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Alkyl-phenylketones,,,Shikimates and Phenylpropanoids
31,0.2590,746.1415,169.0495,915.1910,GGOOLELBJVBBGP,phenylalanyl CoA,O=C(SCCNC(CCNC(C(C(C)(C)COP(OP(OCC1C(OP(O)(O)=O)C(O)C(N2C(N=CN=C3N)=C3N=C2)O1)(O)=O)(O)=O)O)=O)=O)C(N)CC4=CC=CC=C4,414.0150,,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl thioesters,Acyl CoAs,Fatty acyl CoAs,Fatty esters,Fatty acids
32,0.2100,164.8611,170.1539,335.0150,AUZONCFQVSMFAP,Disulfiram,CCN(CC)C(=S)SSC(=S)N(CC)CC,602.8590,,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Thiuram disulfides,,,
33,0.2939,306.8202,171.0288,477.8490,OFKKQTQFWWIRBD,Glucocheirolin,CS(=O)(=O)CCC/C(=N\OS(=O)(=O)O)S[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,572.9460,,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Alkylglucosinolates,Glucosinolates,Amino acid glycosides,Amino acids and Peptides
34,0.7774,0.0002,171.0288,171.0290,LNTHITQWFMADLM,Gallic acid,C1=C(C=C(C(=C1O)O)O)C(=O)O,488.9830,,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Gallic acids,Gallotannins; Simple phenolic acids,Phenolic acids (C6-C1),Shikimates and Phenylpropanoids
35,0.2939,489.9681,174.1489,664.1170,BAWFJGJZGIEFAR,"1-[(2R,3R,4S,5R)-5-[[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxymethyl]-3,4-dihydroxyoxolan-2-yl]p",[H]N([H])c(n5)c(n4)c(nc([H])5)n(c([H])4)C([H])(O1)C([H])(O[H])C([H])(O[H])C([H])1C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C([H])(O2)C([H])(O[H])C([H])(O[H])C([H])2[n+1](c([H])3)c([H])c(C(N)=O)c([H])c([H])3,617.0660,,Organic compounds,"Nucleosides, nucleotides, and analogues",(5'->5')-dinucleotides,,(5'->5')-dinucleotides,,,
36,0.2939,171.0234,177.0546,348.0780,RLTHKSGARBYDSC,2-(4-hydroxyquinazolin-2-ylthio)-N-(4-methylphenyl)acetamide,Cc1ccc(NC(=O)CSc2nc(O)c3ccccc3n2)cc1,1237.1590,,Organic compounds,Organoheterocyclic compounds,Diazanaphthalenes,Benzodiazines,Quinazolines,Phenazine alkaloids,Anthranilic acid alkaloids,Alkaloids
37,0.2939,200.9974,177.0546,378.0520,AAGYRUQWSQMMAM,"N-(2H-benzo[3,4-d]1,3-dioxolan-5-yl)-2-(4-hydroxyquinazolin-2-ylthio)acetamide",OC(CSc1nc(O)c2ccccc2n1)=Nc1ccc2c(c1)OCO2,555.4660,,Organic compounds,Organoheterocyclic compounds,Diazanaphthalenes,Benzodiazines,Quinazolines,,Anthranilic acid alkaloids,Alkaloids
38,0.2939,169.0078,179.0702,348.0780,RLTHKSGARBYDSC,2-(4-hydroxyquinazolin-2-ylthio)-N-(4-methylphenyl)acetamide,Cc1ccc(NC(=O)CSc2nc(O)c3ccccc3n2)cc1,746.1950,,Organic compounds,Organoheterocyclic compounds,Diazanaphthalenes,Benzodiazines,Quinazolines,Phenazine alkaloids,Anthranilic acid alkaloids,Alkaloids
39,0.4090,319.0378,179.0702,498.1080,FHJGOSHIILEXPP,"phenylmethyl 4-(6-chloro-4-oxochromen-3-yl)-2-methyl-5-oxo-1,4,6,7,8-pentahydr oquinoline-3-carboxylate",CC1=C(C(=O)OCc2ccccc2)C(c2coc3ccc(Cl)cc3c2=O)C2=C(CCCC2=O)N1,845.0780,,Organic compounds,Organoheterocyclic compounds,Benzopyrans,1-benzopyrans,Chromones,Chromones,Chromanes,Polyketides
40,0.2939,310.0598,179.0702,489.1300,GLACGTLACKLUJX,Agnuside,O=C(OCC1=CC(O)C2C=COC(OC3OC(CO)C(O)C(O)C3O)C12)C4=CC=C(O)C=C4,592.5040,,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Terpene glycosides,Iridoid O-glycosides,Iridoids monoterpenoids,Monoterpenoids,Terpenoids
41,0.2939,692.0471,180.1019,872.1490,VEVJTUNLALKRNO,benzoyl CoA,O=C(SCCNC(CCNC(C(C(C)(C)COP(OP(OCC1C(OP(O)(O)=O)C(O)C(N2C(N=CN=C3N)=C3N=C2)O1)(O)=O)(O)=O)O)=O)=O)C4=CC=CC=C4,512.5090,,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl thioesters,Acyl CoAs,Fatty acyl CoAs,Fatty esters,Fatty acids
42,0.2939,350.0337,181.1223,531.1560,XMAYWYJOQHXEEK,"1-[4-[4-[[(2R,4S)-2-(2,4-dichlorophenyl)-2-(1-imidazolylmethyl)-1,3-dioxolan-4-yl]methoxy]phenyl]-1-piperazinyl]ethanone",CC(=O)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1,1160.0250,,Organic compounds,Organoheterocyclic compounds,Diazinanes,Piperazines,Phenylpiperazines,,,Alkaloids
43,0.2939,585.4108,183.1492,768.5600,RGJOEKWQDUBAIZ,CoA,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O,481.3930,,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine ribonucleotides,Coenzyme A and derivatives,Fatty acyl CoAs,Fatty esters,Fatty acids
44,0.2100,120.0934,184.1696,304.2630,RYAUSSKQMZRMAI,"(2S,6R)-4-[3-(4-tert-butylphenyl)-2-methylpropyl]-2,6-dimethylmorpholine",CC(CN1C[C@H](C)O[C@H](C)C1)CC1=CC=C(C=C1)C(C)(C)C,865.0540,,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylpropanes,Phenylpropanes,,,Polyketides
45,0.2939,479.0362,185.0808,664.1170,BAWFJGJZGIEFAR,"1-[(2R,3R,4S,5R)-5-[[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxymethyl]-3,4-dihydroxyoxolan-2-yl]p",[H]N([H])c(n5)c(n4)c(nc([H])5)n(c([H])4)C([H])(O1)C([H])(O[H])C([H])(O[H])C([H])1C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C([H])(O2)C([H])(O[H])C([H])(O[H])C([H])2[n+1](c([H])3)c([H])c(C(N)=O)c([H])c([H])3,743.1800,,Organic compounds,"Nucleosides, nucleotides, and analogues",(5'->5')-dinucleotides,,(5'->5')-dinucleotides,,,
46,0.2939,479.0361,185.0809,664.1170,BAWFJGJZGIEFAR,"1-[(2R,3R,4S,5R)-5-[[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxymethyl]-3,4-dihydroxyoxolan-2-yl]p",[H]N([H])c(n5)c(n4)c(nc([H])5)n(c([H])4)C([H])(O1)C([H])(O[H])C([H])(O[H])C([H])1C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C([H])(O2)C([H])(O[H])C([H])(O[H])C([H])2[n+1](c([H])3)c([H])c(C(N)=O)c([H])c([H])3,545.7040,,Organic compounds,"Nucleosides, nucleotides, and analogues",(5'->5')-dinucleotides,,(5'->5')-dinucleotides,,,
47,0.4090,730.0262,185.1648,915.1910,GGOOLELBJVBBGP,phenylalanyl CoA,O=C(SCCNC(CCNC(C(C(C)(C)COP(OP(OCC1C(OP(O)(O)=O)C(O)C(N2C(N=CN=C3N)=C3N=C2)O1)(O)=O)(O)=O)O)=O)=O)C(N)CC4=CC=CC=C4,503.2000,,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl thioesters,Acyl CoAs,Fatty acyl CoAs,Fatty esters,Fatty acids
48,0.4090,478.9522,185.1648,664.1170,BAWFJGJZGIEFAR,"1-[(2R,3R,4S,5R)-5-[[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxymethyl]-3,4-dihydroxyoxolan-2-yl]p",[H]N([H])c(n5)c(n4)c(nc([H])5)n(c([H])4)C([H])(O1)C([H])(O[H])C([H])(O[H])C([H])1C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C([H])(O2)C([H])(O[H])C([H])(O[H])C([H])2[n+1](c([H])3)c([H])c(C(N)=O)c([H])c([H])3,570.3920,,Organic compounds,"Nucleosides, nucleotides, and analogues",(5'->5')-dinucleotides,,(5'->5')-dinucleotides,,,
49,0.2244,370.7671,187.1329,557.9000,YGBGKNBEYMZCHH,Hydroxylated 14-bromodiscorhabdin C (+2),O=C(C1=C2C3(C=C(Br)C(C(Br)=C3)=O)CC(O)N1)C4=C5C2=[NH+]CCC5=C(Br)N4,1814.9510,,Organic compounds,Organoheterocyclic compounds,Phenanthrolines,,Phenanthrolines,,,
50,0.2939,581.3795,187.1805,768.5600,RGJOEKWQDUBAIZ,CoA,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O,602.8590,,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine ribonucleotides,Coenzyme A and derivatives,Fatty acyl CoAs,Fatty esters,Fatty acids
51,0.4090,265.9235,188.0705,453.9940,RDRGBCSDPFGTRN,"8-{[2-(3-bromophenyl)-5-methyl(1,3-oxazol-4-yl)]methylthio}-9-methylhydropurin -6-one",Cc1oc(-c2cccc(Br)c2)nc1CSc1nc2c(O)ncnc2n1C,466.9930,,Organic compounds,Organoheterocyclic compounds,Azoles,Oxazoles,"Phenyl-1,3-oxazoles",Imidazole alkaloids,Histidine alkaloids,Alkaloids
52,0.2939,648.2690,189.0910,837.3600,HJXLYWPYPALBPQ,"(7S,9E,11S,12R,13S,14S,15S,16R,17S,18S,19E,21Z)-26-[(2-ethylphenyl)amino]-2,15,17-trihydroxy-11-methoxy-3,7,12,14,16,18,22-heptamethyl-6,23,27,29-tetraoxo-8,30-dioxa-24-azatetracyclo[23.3.1.1^{4,7}.0^{5,28}]triaconta-1,3,5(28),9,19,21,25-heptaen-13-yl...",O=C(OC1C(C)C(OC)C=COC2(OC3=C(C2=O)C=4C(=O)C(NC=5C=CC=CC5CC)=C(NC(=O)C(=CC=CC(C)C(O)C(C)C(O)C1C)C)C(=O)C4C(O)=C3C)C)C,895.4260,,Organic compounds,Phenylpropanoids and polyketides,Macrolactams,,Macrolactams,Ansa macrolides,Macrolides,Polyketides
53,0.2944,726.0676,189.1234,915.1910,GGOOLELBJVBBGP,phenylalanyl CoA,O=C(SCCNC(CCNC(C(C(C)(C)COP(OP(OCC1C(OP(O)(O)=O)C(O)C(N2C(N=CN=C3N)=C3N=C2)O1)(O)=O)(O)=O)O)=O)=O)C(N)CC4=CC=CC=C4,378.3620,,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl thioesters,Acyl CoAs,Fatty acyl CoAs,Fatty esters,Fatty acids
54,0.2939,474.9936,189.1234,664.1170,BAWFJGJZGIEFAR,"1-[(2R,3R,4S,5R)-5-[[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxymethyl]-3,4-dihydroxyoxolan-2-yl]p",[H]N([H])c(n5)c(n4)c(nc([H])5)n(c([H])4)C([H])(O1)C([H])(O[H])C([H])(O[H])C([H])1C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C([H])(O2)C([H])(O[H])C([H])(O[H])C([H])2[n+1](c([H])3)c([H])c(C(N)=O)c([H])c([H])3,337.1170,,Organic compounds,"Nucleosides, nucleotides, and analogues",(5'->5')-dinucleotides,,(5'->5')-dinucleotides,,,
55,0.2939,350.7070,191.1430,541.8500,NKKVXFCUOMIOAF,Discorhabdin,O=C1C2=C(C3(CC(Br)C(C(Br)=C3)=O)C=CN2)C4=[NH+]CCC5=C(Br)NC1=C45,1202.8950,,Organic compounds,Organoheterocyclic compounds,Phenanthrolines,,Phenanthrolines,,,
56,0.4090,292.0435,192.0654,484.1090,DSIVFFWGRJVLEK,"propyl 4-(3-bromo-4-methoxyphenyl)-2,7,7-trimethyl-5-oxo-1,4,6,7,8-pentahydroq uinoline-3-carboxylate",CCCOC(=O)C1=C(C)NC2=C(C(=O)CC(C)(C)C2)C1c1ccc(OC)c(Br)c1,712.7250,,Organic compounds,Organoheterocyclic compounds,Quinolines and derivatives,Phenylquinolines,Phenylquinolines,,,
