query_spectrum_nr,ms2query_model_prediction,precursor_mz_difference,precursor_mz_query_spectrum,precursor_mz_analog,inchikey,spectrum_ids,analog_compound_name,retention_time,retention_index,smiles,cf_kingdom,cf_superclass,cf_class,cf_subclass,cf_direct_parent,npc_class_results,npc_superclass_results,npc_pathway_results
11,0.7669,0.0002,144.0808,144.0810,APJYDQYYACXCRM,26468,Tryptamine,,,C1=CC=C2C(=C1)C(=CN2)CCN,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Tryptamines and derivatives,Tryptamines and derivatives,Simple indole alkaloids,Tryptophan alkaloids,Alkaloids
12,0.7920,0.0002,144.0808,144.0810,APJYDQYYACXCRM,26468,Tryptamine,,,C1=CC=C2C(=C1)C(=CN2)CCN,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Tryptamines and derivatives,Tryptamines and derivatives,Simple indole alkaloids,Tryptophan alkaloids,Alkaloids
13,0.2939,213.0926,145.0864,358.1790,QANQWUQOEJZMLL,9765,CinacalcetHCl,,,C[C@H](C1=CC=CC2=CC=CC=C21)NCCCC3=CC(=CC=C3)C(F)(F)F.Cl,Organic compounds,Benzenoids,Naphthalenes,,Naphthalenes,,,
14,0.8558,0.0000,146.0600,146.0600,OVYWMEWYEJLIER,247282,Quinolin-6-ol,,,c1cc2cc(ccc2nc1)O,Organic compounds,Organoheterocyclic compounds,Quinolines and derivatives,Hydroxyquinolines,Hydroxyquinolines,,Tryptophan alkaloids,Alkaloids
15,0.8710,0.0000,146.0600,146.0600,VDBNYAPERZTOOF,247081,2H-isoquinolin-1-one,,,c1ccc2c(c1)ccnc2O,Organic compounds,Organoheterocyclic compounds,Isoquinolines and derivatives,Isoquinolones and derivatives,Isoquinolones and derivatives,,,Alkaloids
16,0.8558,0.0001,146.0601,146.0600,MCJGNVYPOGVAJF,265233,quinolin-8-ol,,,OC1=CC=CC2=CC=CN=C12,Organic compounds,Organoheterocyclic compounds,Quinolines and derivatives,8-hydroxyquinolines,8-hydroxyquinolines,,,Alkaloids
17,0.8710,0.0001,146.0601,146.0600,VDBNYAPERZTOOF,247081,2H-isoquinolin-1-one,,,c1ccc2c(c1)ccnc2O,Organic compounds,Organoheterocyclic compounds,Isoquinolines and derivatives,Isoquinolones and derivatives,Isoquinolones and derivatives,,,Alkaloids
18,0.7187,0.0006,146.1176,146.1170,QVDXUKJJGUSGLS,3730,Leucine methyl ester,,,COC(=O)C(N)CC(C)C,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Leucine and derivatives,Wax monoesters,Fatty esters,Fatty acids
19,0.7621,0.0000,147.0440,147.0440,PMOWTIHVNWZYFI,67573,2-Hydroxycinnamic acid,,,OC(=O)C=Cc(c1)c(O)ccc1,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,Cinnamic acids and derivatives,Phenylpropanoids (C6-C3),Shikimates and Phenylpropanoids
20,0.8558,0.0000,147.0440,147.0440,NGSWKAQJJWESNS,60934,p-coumaric acid,,,O=C(O)/C=C/C1=CC=C(O)C=C1,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,Cinnamic acids and derivatives,Phenylpropanoids (C6-C3),Shikimates and Phenylpropanoids
21,0.8558,0.0010,147.0440,147.0450,NGSWKAQJJWESNS,254891,"Coumaric acid (isomer of 192, 194)",,,O=C(O)/C=C/C1=CC=C(O)C=C1,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,Cinnamic acids and derivatives,Phenylpropanoids (C6-C3),Shikimates and Phenylpropanoids
22,0.3459,224.0235,149.1325,373.1560,PQFWIRHWRKARQU,61393,"3,5-dimethoxyphenyl 4-[(4-fluorophenyl)carbonyl]piperazinyl ketone",,,nan,nan,nan,nan,nan,nan,nan,nan,nan
23,0.6402,0.0000,151.0390,151.0390,MRIXVKKOHPQOFK,67154,4-Methoxysalicylic acid,,,COc1ccc(C(=O)O)c(O)c1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,P-methoxybenzoic acids and derivatives,Simple phenolic acids,Phenolic acids (C6-C1),Shikimates and Phenylpropanoids
24,0.7532,0.0002,153.0182,153.0180,LNTHITQWFMADLM,70853,Gallic acid,,,OC(C1=CC(O)=C(O)C(O)=C1)=O,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Gallic acids,Gallotannins; Simple phenolic acids,Phenolic acids (C6-C1),Shikimates and Phenylpropanoids
25,0.8014,0.0004,159.0916,159.0920,KQSABULTKYLFEV,265342,"naphthalene-1,5-diamine",,,NC1=CC=CC2=C(N)C=CC=C12,Organic compounds,Benzenoids,Naphthalenes,,Naphthalenes,,,
26,0.3041,15.9815,161.0445,145.0630,RURHILYUWQEGOS,26231,4-Methylcinnamic acid,,,CC1=CC=C(C=C1)/C=C/C(=O)O,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Cinnamic acids,Cinnamic acids,Cinnamic acids and derivatives,Phenylpropanoids (C6-C3),Shikimates and Phenylpropanoids
27,0.6290,0.0000,162.0550,162.0550,KMAKOBLIOCQGJP,236978,Indole-3-carboxylic_acid,,,OC(C1=CNC2=CC=CC=C21)=O,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolecarboxylic acids and derivatives,Indolecarboxylic acids and derivatives,Simple indole alkaloids,Tryptophan alkaloids,Alkaloids
28,0.8798,0.0002,166.0862,166.0860,COLNVLDHVKWLRT,61071,DL-PHENYLALANINE,,,O=C(O)[C@@H](N)Cc1ccccc1,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Phenylalanine and derivatives,Aminoacids,Small peptides,Amino acids and Peptides
29,0.8413,0.0002,167.0702,167.0700,FBWPWWWZWKPJFL,28155,4-HYDROXY-3-METHOXYPHENYLGLYCOL,,,COC1=C(C=CC(=C1)C(CO)O)O,Organic compounds,Benzenoids,Phenols,Methoxyphenols,Methoxyphenols,Phenylethanoids,Phenylethanoids (C6-C2),Shikimates and Phenylpropanoids
30,0.8733,0.0005,169.0495,169.0500,YHXHKYRQLYQUIH,304180,4-HYDROXYMANDELIC ACID,,,nan,nan,nan,nan,nan,nan,nan,nan,nan
31,0.8733,0.0005,169.0495,169.0500,YHXHKYRQLYQUIH,304180,4-HYDROXYMANDELIC ACID,,,nan,nan,nan,nan,nan,nan,nan,nan,nan
32,0.6232,0.0001,170.1539,170.1540,HDVAWXXJVMJBAR,299748,Lupinine,,,OC[C@@H]1CCCN2CCCC[C@H]12,Organic compounds,Alkaloids and derivatives,Lupin alkaloids,Lupinine-type alkaloids,Lupinine-type alkaloids,Quinolizidine alkaloids,Lysine alkaloids,Alkaloids
33,0.6203,0.0002,171.0288,171.0290,LNTHITQWFMADLM,280868,Gallic acid,,,OC(C1=CC(O)=C(O)C(O)=C1)=O,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Gallic acids,Gallotannins; Simple phenolic acids,Phenolic acids (C6-C1),Shikimates and Phenylpropanoids
34,0.8154,0.0002,171.0288,171.0290,LNTHITQWFMADLM,280870,Gallic acid,,,OC(C1=CC(O)=C(O)C(O)=C1)=O,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Gallic acids,Gallotannins; Simple phenolic acids,Phenolic acids (C6-C1),Shikimates and Phenylpropanoids
35,0.5319,3.0099,174.1489,171.1390,IFYYFLINQYPWGJ,242469,FIO00041 gamma-Decalactone,,,CCCCCCC(C1)OC(=O)C1,Organic compounds,Organoheterocyclic compounds,Lactones,Gamma butyrolactones,Gamma butyrolactones,Lactones,Fatty esters,Fatty acids
36,0.8079,0.0004,177.0546,177.0550,KSEBMYQBYZTDHS,24670,trans-Ferulic acid,,,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,Cinnamic acids and derivatives,Phenylpropanoids (C6-C3),Shikimates and Phenylpropanoids
37,0.8681,0.0004,177.0546,177.0550,KSEBMYQBYZTDHS,69616,ferulic acid,,,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,Cinnamic acids and derivatives,Phenylpropanoids (C6-C3),Shikimates and Phenylpropanoids
38,0.8348,0.0002,179.0702,179.0700,DKZBBWMURDFHNE,266667,Coniferaldehyde,,,COC1=C(C=CC(=C1)/C=C/C=O)O,Organic compounds,Benzenoids,Phenols,Methoxyphenols,Methoxyphenols,Cinnamic acids and derivatives,Phenylpropanoids (C6-C3),Shikimates and Phenylpropanoids
39,0.8843,0.0002,179.0702,179.0700,DKZBBWMURDFHNE,267134,Coniferaldehyde,,,COC1=C(C=CC(=C1)/C=C/C=O)O,Organic compounds,Benzenoids,Phenols,Methoxyphenols,Methoxyphenols,Cinnamic acids and derivatives,Phenylpropanoids (C6-C3),Shikimates and Phenylpropanoids
40,0.8496,0.0002,179.0702,179.0700,DKZBBWMURDFHNE,266592,Coniferaldehyde,,,COC1=C(C=CC(=C1)/C=C/C=O)O,Organic compounds,Benzenoids,Phenols,Methoxyphenols,Methoxyphenols,Cinnamic acids and derivatives,Phenylpropanoids (C6-C3),Shikimates and Phenylpropanoids
41,0.7843,0.0001,180.1019,180.1020,VSDUZFOSJDMAFZ,3715,Phenylalanine methyl ester,,,COC(=O)C(N)Cc1ccccc1,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Phenylalanine and derivatives,Aminoacids,Small peptides,Amino acids and Peptides
42,0.5292,72.0567,181.1223,253.1790,DRAGJHQSJAIYMO,1868,Photopyrone A,,,CCCCCCC1=C(C=C(OC1=O)CC(C)C)O,Organic compounds,Organoheterocyclic compounds,Pyrans,Pyranones and derivatives,Pyranones and derivatives,2-pyrone derivatives,Cyclic polyketides,Polyketides
43,0.5542,0.0472,183.1492,183.1020,SZBDLUWYHDLLAG,4236,Germicidin B,,,CCc1c(O)cc(C(C)C)oc1=O,Organic compounds,Organoheterocyclic compounds,Pyrans,Pyranones and derivatives,Pyranones and derivatives,2-pyrone derivatives,Cyclic polyketides,Polyketides
44,0.3459,126.1774,184.1696,310.3470,UZFYSJNBWVQZQB,4448,"(2R,6R)-2-methyl-6-pentadecylpiperidine",,,CCCCCCCCCCCCCCC[C@@H]1N[C@@H](C)CCC1,Organic compounds,Alkaloids and derivatives,,,Alkaloids and derivatives,Piperidine alkaloids,Lysine alkaloids,Alkaloids
45,0.7907,0.0002,185.0808,185.0810,VTCDZPUMZAZMSB,63856,"3,4,5-Trimethoxyphenol",,,nan,nan,nan,nan,nan,nan,nan,nan,nan
46,0.8063,0.0001,185.0809,185.0810,VTCDZPUMZAZMSB,70750,"3,4,5-Trimethoxyphenol",,,nan,nan,nan,nan,nan,nan,nan,nan,nan
47,0.5311,17.0268,185.1648,168.1380,PZYDAVFRVJXFHS,265257,N-Cyclohexyl-2-pyrrolidone,,,O=C1CCCN1C1CCCCC1,Organic compounds,Organoheterocyclic compounds,Pyrrolidines,N-alkylpyrrolidines,N-alkylpyrrolidines,Quinolizidine alkaloids,Lysine alkaloids,Alkaloids
48,0.3459,126.1052,185.1648,311.2700,UQRGRWPAQSUOCR,3741,N-butyl-N-(1-(cyclohexylamino)-1-oxobutan-2-yl)butyramide,,,CCCCN(C(=O)CCC)C(CC)C(=O)NC1CCCCC1,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,N-acyl amines,,,Alkaloids; Fatty acids
49,0.6281,0.0001,187.1329,187.1330,XPPALVZZCMPTIV,24332,Jasmine lactone,,,CC/C=C\CC1CCCC(=O)O1,Organic compounds,Organoheterocyclic compounds,Lactones,Delta valerolactones,Delta valerolactones,Lactones,Fatty esters,Fatty acids
50,0.6281,495.2825,187.1805,682.4630,TWHBYJSVDCWICV,248032,Enniatin A,,,CCC(C)C1C(=O)OC(C(=O)N(C(C(=O)OC(C(=O)N(C(C(=O)OC(C(=O)N1C)C(C)C)C(C)CC)C)C(C)C)C(C)CC)C)C(C)C,Organic compounds,Organic acids and derivatives,Peptidomimetics,Depsipeptides,Cyclic depsipeptides,Cyclic peptides; Depsipeptides,Oligopeptides,Amino acids and Peptides; Polyketides
51,0.8659,0.0005,188.0705,188.0700,QIVBCDIJIAJPQS,25428,L-Tryptophan,,,OC([C@H](N)CC1=CNC2=C1C=CC=C2)=O,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives,Indolyl carboxylic acids and derivatives,Aminoacids,Small peptides,Amino acids and Peptides
52,0.6246,0.0000,189.0910,189.0910,WMBOCUXXNSOQHM,69033,Butylidenephthalide,,,nan,nan,nan,nan,nan,nan,nan,nan,nan
53,0.8700,0.0004,189.1234,189.1230,DKEXFJVMVGETOO,255195,Glycylleucine,,,CC(C)C[C@@H](C(=O)O)NC(=O)CN,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Dipeptides,Small peptides,Amino acids and Peptides
54,0.7621,0.0004,189.1234,189.1230,LESXFEZIFXFIQR,256057,Leucylglycine,,,CC(C)C[C@@H](C(=O)NCC(=O)O)N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Dipeptides,Small peptides,Amino acids and Peptides
55,0.5521,464.2290,191.1430,655.3720,JRDGRUGBUPIOBO,70966,"1,2,6,6,10,17,20-heptamethyl-17-[N-(2-nitrophenyl)carbamoyl]-12-oxopentacyclo[ 12.8.0.0<2,11>.0<5,10>.0<15,20>]docos-13-en-7-yl acetate",,,nan,nan,nan,nan,nan,nan,nan,nan,nan
56,0.6281,0.0005,192.0654,192.0650,VSOJKDUWYQCWFM,1633,noroxyhydrastinine,,,C1CNC(=O)C2=CC3=C(C=C21)OCO3,Organic compounds,Organoheterocyclic compounds,Isoquinolines and derivatives,Isoquinolones and derivatives,Isoquinolones and derivatives,Amarylidaceae alkaloids,Tyrosine alkaloids,Alkaloids
57,0.6241,0.0005,192.0655,192.0660,FHSZQYNWIIHBAX,70998,5-hydroxy-2-methylindole-3-carboxylic acid,,,nan,nan,nan,nan,nan,nan,nan,nan,nan
58,0.6870,18.9949,193.0859,174.0910,MOSRXMRJDACECK,273995,Pargyline formamide,,,O=CN(CC#C)CC1=CC=CC=C1,Organic compounds,Benzenoids,Benzene and substituted derivatives,,Benzene and substituted derivatives,,,Alkaloids
59,0.6241,0.0001,193.0859,193.0860,BNWJOHGLIBDBOB,71369,Myristicin,,,COC1=C2OCOC2=CC(CC=C)=C1,Organic compounds,Organoheterocyclic compounds,Benzodioxoles,,Benzodioxoles,Cinnamic acids and derivatives,Phenylpropanoids (C6-C3),Shikimates and Phenylpropanoids
60,0.6290,0.0004,193.1336,193.1340,VMQHGBUSMBFWHN,255808,Aminobutyl benzamide,,,NCCCCNC(=O)C1=CC=CC=C1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzamides,Polyamines,Ornithine alkaloids,Alkaloids
61,0.8487,0.0002,195.0652,195.0650,KSEBMYQBYZTDHS,69621,ferulic acid,,,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,Cinnamic acids and derivatives,Phenylpropanoids (C6-C3),Shikimates and Phenylpropanoids
62,0.7147,112.1250,195.1379,307.2630,YVGCHYVFHLTZIM,27389,"9Z,11E,13E-Octadecatrienoic acid ethyl ester",,,CCCC/C=C/C=C\C=C/CCCCCCCC(=O)OCC,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,Lineolic acids and derivatives,Wax monoesters,Fatty esters,Fatty acids
63,0.6253,0.0002,196.0968,196.0970,MWZPENIJLUWBSY,3722,Tyrosine methyl ester,,,COC(=O)C(N)Cc1ccc(O)cc1,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Tyrosine and derivatives,,,
64,0.8498,0.0002,197.1172,197.1170,XEVQXKKKAVVSMW,2222,Loliolide,,,CC1(CC(CC2(C1=CC(=O)O2)C)O)C,Organic compounds,Organoheterocyclic compounds,Benzofurans,,Benzofurans,Apocarotenoids (β-),Apocarotenoids,Terpenoids
65,0.6241,0.0002,198.1852,198.1850,WPPOGHDFAVQKLN,265633,1-octylpyrrolidin-2-one,,,CCCCCCCCN1CCCC1=O,Organic compounds,Organoheterocyclic compounds,Pyrrolidines,N-alkylpyrrolidines,N-alkylpyrrolidines,,Ornithine alkaloids,Alkaloids
66,0.3338,69.1189,201.1961,270.3150,REYJJPSVUYRZGE,25834,1-Octadecanamine,,,CCCCCCCCCCCCCCCCCCN,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Monoalkylamines,Hydrocarbons,Fatty acyls,Fatty acids
67,0.4090,232.2400,203.0550,435.2950,SCABKEBYDRTODC,262775,bis[2-(2-butoxyethoxy)ethyl] hexanedioate,,,CCCCOCCOCCOC(=O)CCCCC(=O)OCCOCCOCCCC,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,Triacylglycerols,Glycerolipids,Fatty acids
68,0.6241,0.0005,203.0815,203.0810,SDIVYZXRQHWCKF,255194,Vasicinone,,,OC1CCn2c1nc3ccccc3c2=O,Organic compounds,Organoheterocyclic compounds,Diazanaphthalenes,Benzodiazines,Quinazolines,Quinazoline alkaloids,Anthranilic acid alkaloids,Alkaloids
69,0.8485,0.0010,203.1390,203.1400,RDIKFPRVLJLMER,255499,Alanylleucine (isomer of 675),,,C[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)O)N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Dipeptides,Small peptides,Amino acids and Peptides
70,0.8485,0.0009,203.1391,203.1400,RDIKFPRVLJLMER,255499,Alanylleucine (isomer of 675),,,C[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)O)N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Dipeptides,Small peptides,Amino acids and Peptides
71,0.8556,0.0001,205.0971,205.0970,QIVBCDIJIAJPQS,247415,(2S)-2-Azaniumyl-3-(1H-indol-3-yl)propanoate,,,OC([C@H](N)CC1=CNC2=C1C=CC=C2)=O,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives,Indolyl carboxylic acids and derivatives,Aminoacids,Small peptides,Amino acids and Peptides
72,0.6232,0.0002,206.0812,206.0810,XGILAAMKEQUXLS,55854,indole_3_lactic_acid,,,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)O,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives,Indolyl carboxylic acids and derivatives,Simple indole alkaloids,Tryptophan alkaloids,Alkaloids
73,0.4090,228.2451,207.0499,435.2950,SCABKEBYDRTODC,262775,bis[2-(2-butoxyethoxy)ethyl] hexanedioate,,,CCCCOCCOCCOC(=O)CCCCC(=O)OCCOCCOCCCC,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,Triacylglycerols,Glycerolipids,Fatty acids
74,0.4090,286.1921,207.1379,493.3300,MPDGHEJMBKOTSU,117966,"(3beta,20beta)-3-hydroxy-11-oxoolean-12-en-29-oic acid",,,CC1(C2CCC3(C(C2(CCC1O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,Triterpenoids,Oleanane triterpenoids,Triterpenoids,Terpenoids
75,0.6232,0.0002,208.1332,208.1330,PVXVWWANJIWJOO,276669,"3,4-methylenedioxyethamphetamine",,,CCNC(C)CC1=CC2=C(C=C1)OCO2,Organic compounds,Organoheterocyclic compounds,Benzodioxoles,,Benzodioxoles,Phenylalanine-derived alkaloids,Pseudoalkaloids (transamidation),Alkaloids
76,0.6286,0.0002,209.0807,209.0810,VVYCRPVWBIEKIW,2569,Pyrenocin A putative,,,CC=CC(=O)C1=C(OC(=O)C=C1OC)C,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Aryl ketones,2-pyrone derivatives,Cyclic polyketides,Polyketides
77,0.7377,0.0002,209.0808,209.0810,AZKVWQKMDGGDSV,70971,Genipin,,,O1C=C([C@@]2([C@]([C@H]1O)(C(=CC2)CO)[H])[H])C(=O)OC,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Iridoids and derivatives,Iridoids monoterpenoids,Monoterpenoids,Terpenoids
78,0.5546,37.0054,211.0964,174.0910,MOSRXMRJDACECK,273995,Pargyline formamide,,,O=CN(CC#C)CC1=CC=CC=C1,Organic compounds,Benzenoids,Benzene and substituted derivatives,,Benzene and substituted derivatives,,,Alkaloids
79,0.8577,0.0002,211.1328,211.1330,ZNJFBWYDHIGLCU,24989,Jasmonic acid,,,CCC=CCC1C(CCC1=O)CC(=O)O,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,Jasmonic acids,Jasmonic acids,Octadecanoids,Fatty acids
80,0.4090,366.2248,211.1692,577.3940,XBEDTLDOFCRJHC,14376,"3-[5-(3,5-dihydroxydecanoyloxy)-3-hydroxydecanoyl]oxy-5-hydroxydecanoic acid",,,CCCCCC(O)CC(O)CC(=O)OC(CCCCC)CC(O)CC(=O)OC(CC(O)CCCCC)CC(O)=O,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,3-(3-hydroxyalkanoyloxy)alkanoic acids,Fatty acid estolides,Fatty esters,Fatty acids
81,0.4090,227.1596,211.1804,438.3400,XYNPYHXGMWJBLV,225060,tomatidine,,,C[C@H]1CC[C@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC[C@@H]6[C@@]5(CC[C@@H](C6)O)C)C)C)NC1,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroidal alkaloids,Spirosolanes and derivatives,Steroidal alkaloids,Pseudoalkaloids (transamidation),Alkaloids; Terpenoids
82,0.4090,533.1766,211.1804,744.3570,UXDPXZQHTDAXOZ,293717,"(2S)-2-[2-[(5R,6R,7S,9S,16R,18S,19S)-19-amino-6-[(3S)-3,4-dicarboxybutanoyl]oxy-16,18-dihydroxy-5,9-dimethylicosan-7-yl]oxy-2-oxoethyl]butanedioic acid",,,CCCC[C@@H](C)[C@H]([C@H](C[C@@H](C)CCCCCC[C@H](C[C@@H]([C@H](C)N)O)O)OC(=O)C[C@@H](CC(=O)O)C(=O)O)OC(=O)C[C@@H](CC(=O)O)C(=O)O,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Fumonisins,Fumonisins,Open-chain polyketides; Sphingoid bases,Spingolipids; Linear polyketides,Fatty acids; Polyketides
83,0.4090,1068.6395,211.1805,1279.8200,MIZMDSVSLSIMSC,18377,"(3S,6R,9S,12R,15S,18R)-4,10,16-trimethyl-3,6,9,12,15,18-hexa(propan-2-yl)-1,7,13-trioxa-4,10,16-triazacyclooctadecane-2,5,8,11,14,17-hexone [IIN-based on: CCMSLIB00000846056]",,,CC(C)C1C(=O)OC(C(=O)N(C(C(=O)OC(C(=O)N(C(C(=O)OC(C(=O)N1C)C(C)C)C(C)C)C)C(C)C)C(C)C)C)C(C)C,Organic compounds,Organic acids and derivatives,Peptidomimetics,Depsipeptides,Cyclic depsipeptides,Cyclic peptides; Depsipeptides,Oligopeptides,Amino acids and Peptides; Polyketides
84,0.6917,0.0003,213.0757,213.0760,UTXNRISXYKZJTH,1639,"2,3-dihydroxy-1-(4-hydroxy-3-methoxyphenyl)-propan-1-one",,,OC1=C(OC)C=C(C(C(CO)O)=O)C=C1,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Alkyl-phenylketones,,,Shikimates and Phenylpropanoids
